metro,pop choices,default pop,pop_count
metro_78,['pop5'],pop5,1
metro_79,['pop14'],pop14,1
metro_80,['pop16'],pop16,1
metro_81,['pop5' 'pop14' 'pop1'],pop5,3
metro_82,['pop10'],pop10,1
metro_83,['pop2'],pop2,1
metro_84,['pop2'],pop2,1
metro_85,['pop10'],pop10,1
metro_86,['pop1' 'pop5'],pop1,2
metro_87,['pop16'],pop16,1
metro_88,['pop16'],pop16,1
metro_89,['pop4' 'pop1' 'pop2'],pop4,3
metro_90,['pop1'],pop1,1
metro_91,['pop10'],pop10,1
metro_92,['pop2' 'pop1' 'pop4'],pop2,3
metro_93,['pop1' 'pop2' 'pop4' 'pop5'],pop1,4
metro_94,['pop1'],pop1,1
metro_95,['pop4' 'pop2' 'pop8'],pop4,3
metro_96,['pop1' 'pop2'],pop1,2
metro_97,['pop10'],pop10,1
metro_98,['pop1' 'pop2' 'pop5'],pop1,3
metro_99,['pop14' 'pop4' 'pop5'],pop14,3
metro_100,['pop10'],pop10,1
metro_101,['pop1' 'pop2'],pop2,2
metro_102,['pop2' 'pop4'],pop2,2
metro_103,['pop9'],pop9,1
metro_104,['pop2' 'pop1'],pop2,2
metro_105,['pop1' 'pop2' 'pop14'],pop2,3
metro_106,['pop14' 'pop2' 'pop5' 'pop4'],pop14,4
metro_107,['pop14' 'pop5' 'pop2' 'pop1' 'pop4' 'pop16' 'pop15'],pop14,7
metro_108,['pop15' 'pop7'],pop15,2
metro_109,['pop14' 'pop8'],pop14,2
metro_110,['pop8' 'pop4'],pop8,2
metro_111,['pop9' 'pop15'],pop15,2
metro_112,['pop13' 'pop10'],pop13,2
metro_113,['pop8' 'pop14'],pop14,2
metro_114,['pop4' 'pop1' 'pop5' 'pop2'],pop4,4
metro_115,['pop4'],pop4,1
metro_116,['pop11' 'pop15'],pop11,2
metro_117,['pop9'],pop9,1
metro_118,['pop16' 'pop5' 'pop9'],pop16,3
metro_119,['pop15'],pop15,1
metro_120,['pop15'],pop15,1
metro_121,['pop12' 'pop6'],pop12,2
metro_122,['pop7'],pop7,1
metro_123,['pop5'],pop5,1
metro_124,['pop10'],pop10,1
metro_125,['pop10'],pop10,1
metro_126,['pop7'],pop7,1
metro_127,['pop4' 'pop1'],pop1,2
metro_128,['pop16'],pop16,1
metro_129,['pop9'],pop9,1
metro_130,['pop10'],pop10,1
metro_131,['pop4' 'pop1'],pop4,2
metro_132,['pop9'],pop9,1
